,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,mrp per weight,visibility per mrp,mrp per year,Predictions
408,Low Fat,Canned,90.9804,Medium,Tier 2,Supermarket Type1,5.598793846153846,0.0008609246387133933,0.04544475524475525,1274.60752
409,Low Fat,Household,140.8496,Medium,Tier 3,Grocery Store,9.3277880794702,0.0006635787677068305,0.0704952952952953,319.8725133333334
410,Low Fat,Household,195.111,Medium,Tier 1,Supermarket Type1,11.933394495412843,0.00046487892532968414,0.09760430215107553,3238.606553333333
411,Low Fat,Household,178.2686,Medium,Tier 3,Supermarket Type2,13.55654752851711,0.00013884491155481113,0.0887349925335988,2514.549053333333
412,Regular,Snack Foods,56.2956,Medium,Tier 2,Supermarket Type1,7.301634241245136,0.0011853892666567193,0.02811968031968032,659.1641933333332
413,Low Fat,Canned,187.5214,Medium,Tier 3,Supermarket Type2,12.627703703703704,9.944088514697522e-05,0.09334066699850672,2500.9001533333335
414,Low Fat,Fruits and Vegetables,112.2228,Small,Tier 1,Supermarket Type1,12.788923076923076,0.00019250440195753448,0.05619569354031047,1787.07378
415,Low Fat,Health and Hygiene,101.1042,Small,Tier 1,Grocery Store,8.088336,0.0006508127852255396,0.05093410579345088,306.24580666666674
416,Low Fat,Fruits and Vegetables,213.2902,Medium,Tier 1,Supermarket Type1,26.332123456790125,0.0,0.1066984492246123,3493.852080000001
417,Low Fat,Dairy,45.0428,Small,Tier 2,Supermarket Type1,5.133082621082621,0.0024396904499720267,0.022476447105788423,784.4011733333334
418,Regular,Snack Foods,224.0404,Small,Tier 1,Grocery Store,17.923232,7.629779718300807e-05,0.11286670025188918,572.3216799999999
419,LF,Canned,184.2266,Medium,Tier 3,Supermarket Type3,14.738128,0.000917273347062802,0.09280937027707808,5522.655646666666
420,Regular,Fruits and Vegetables,102.7332,Small,Tier 1,Supermarket Type1,6.627948387096774,0.0002560224348117259,0.05144376564847271,1555.70828
421,Regular,Fruits and Vegetables,43.2796,Medium,Tier 3,Supermarket Type3,3.462368,0.0024296697982421275,0.021803324937027708,987.9806199999997
422,Low Fat,Fruits and Vegetables,65.051,Small,Tier 1,Supermarket Type1,8.355940912010276,0.0013636744707998338,0.03257436154231347,1213.4870799999997
423,Regular,Baking Goods,119.1098,Small,Tier 2,Supermarket Type1,17.951740768651096,5.310150802033082e-05,0.05943602794411178,2254.86486
424,Regular,Fruits and Vegetables,140.1838,High,Tier 3,Supermarket Type1,7.897678873239436,0.0002113599146263691,0.07055047810770004,1995.2916333333333
425,Low Fat,Others,251.204,Medium,Tier 3,Supermarket Type2,20.67522633744856,0.0002584516448782663,0.1250393230462917,3575.8120599999997
426,Low Fat,Soft Drinks,243.5512,Small,Tier 2,Supermarket Type1,24.113980198019803,0.0006861948986496473,0.12153253493013971,4903.772353333333
427,Low Fat,Dairy,77.0012,Medium,Tier 1,Supermarket Type1,5.767880149812734,0.00023133468049848577,0.038519859929964984,1167.0808200000001
428,Low Fat,Household,247.0144,Medium,Tier 2,Supermarket Type1,13.10421220159151,0.00016376972354648152,0.12338381618381618,3940.049046666667
429,Regular,Fruits and Vegetables,64.0168,High,Tier 3,Supermarket Type1,3.0339715639810425,0.0025207532553954584,0.03221781580271767,1183.0822133333334
430,Regular,Snack Foods,93.5436,Medium,Tier 3,Supermarket Type2,14.836415543219667,0.0013214937847164318,0.046562269785963166,1240.6739133333333
431,Regular,Baking Goods,164.85,Small,Tier 1,Supermarket Type1,24.86425339366516,0.0006310074734607219,0.08254882323485227,3001.6261399999994
432,Low Fat,Fruits and Vegetables,178.3002,Medium,Tier 3,Grocery Store,14.735553719008264,0.0003788547180541581,0.08923933933933934,454.38630666666666
433,Low Fat,Meat,118.415,High,Tier 3,Supermarket Type1,16.310606060606062,0.0001217035004011316,0.05959486663311525,1571.0660666666665
434,Regular,Snack Foods,184.4608,Medium,Tier 3,Supermarket Type2,19.416926315789475,5.942467993199639e-05,0.0918172224987556,3387.2574999999993
435,Low Fat,Snack Foods,219.1798,Medium,Tier 3,Supermarket Type3,17.534384,0.00039827988710638485,0.11041803526448363,5405.252913333333
436,Regular,Meat,75.7038,Medium,Tier 3,Grocery Store,4.519629850746269,0.0001894044816772738,0.03788978978978979,221.51165999999998
437,Low Fat,Snack Foods,92.512,High,Tier 3,Supermarket Type1,12.561031907671419,0.0017277188256658597,0.046558631102164065,1404.0612333333336
438,Regular,Meat,205.698,Medium,Tier 2,Supermarket Type1,13.101783439490447,4.2555848865812984e-05,0.10274625374625375,5006.527486666667
439,Regular,Canned,166.4184,Medium,Tier 3,Supermarket Type2,9.675488372093023,7.247397523350784e-05,0.08283643603782977,2305.443466666666
440,Regular,Baking Goods,118.8098,Medium,Tier 2,Supermarket Type1,19.178337368845842,0.0009224513129388317,0.05934555444555444,2004.2799333333335
441,Low Fat,Snack Foods,176.137,Medium,Tier 1,Supermarket Type1,8.308349056603774,0.0,0.08811255627813908,2360.6604799999996
442,Regular,Meat,44.6112,Medium,Tier 1,Supermarket Type1,6.574974207811348,0.0009425380846065563,0.022316758379189592,765.07078
443,Regular,Frozen Foods,108.7912,Medium,Tier 3,Supermarket Type2,7.999352941176471,0.00045767732132746033,0.05415191637630662,1332.3989599999998
444,Low Fat,Fruits and Vegetables,182.2292,Medium,Tier 3,Supermarket Type2,20.590870056497174,0.0002968039315323779,0.09070642110502737,2353.492033333333
445,Regular,Snack Foods,112.4518,High,Tier 3,Supermarket Type1,7.208448717948719,0.00031548266901908195,0.05659375943633619,1694.6163533333333
446,Low Fat,Dairy,169.4106,Small,Tier 2,Supermarket Type1,10.114065671641791,0.00035732226318778166,0.08453622754491018,2457.7563133333333
447,Low Fat,Snack Foods,242.2828,Small,Tier 1,Supermarket Type1,17.122459363957596,0.00014394207512873387,0.12132338507761643,3891.3124866666662
448,Low Fat,Others,186.6924,Medium,Tier 3,Supermarket Type3,14.935392,0.0003556813721394122,0.09405158690176323,5257.1568
449,Regular,Breads,144.6444,Medium,Tier 3,Supermarket Type2,21.99914828897338,0.0005241498806728778,0.07199820806371328,2488.738206666667
450,Low Fat,Fruits and Vegetables,145.1418,Medium,Tier 3,Grocery Store,24.271204013377922,0.000502372727911601,0.07264354354354353,487.69849999999985
451,Regular,Meat,106.5306,Medium,Tier 3,Grocery Store,18.92195381882771,0.0003855893611788538,0.05331861861861862,275.77436000000006
452,Low Fat,Canned,183.4266,Small,Tier 1,Supermarket Type1,8.861188405797103,0.000925756978540735,0.09185107661492238,2519.209653333334
453,Low Fat,Breads,125.7046,Medium,Tier 2,Supermarket Type1,11.42769090909091,0.000846710629523502,0.06263308420528152,2021.0137066666673
454,Low Fat,Dairy,175.7028,Medium,Tier 2,Supermarket Type1,29.138109452736316,0.00012947851144091044,0.08776363636363636,2223.860773333333
455,Low Fat,Breakfast,99.3358,Small,Tier 2,Supermarket Type1,5.340634408602151,0.0015304605993005543,0.049568762475049905,1086.9628866666667
456,Regular,Fruits and Vegetables,59.7904,Medium,Tier 3,Supermarket Type3,4.783232,0.00020313645668869917,0.03012110831234257,1696.3252399999994
457,Regular,Snack Foods,87.454,Small,Tier 2,Supermarket Type1,8.490679611650485,0.00012720055114688865,0.04363972055888223,1668.6501533333337
458,Regular,Fruits and Vegetables,222.3772,Medium,Tier 1,Supermarket Type1,10.98159012345679,8.469547237756389e-05,0.11124422211105552,3373.87492
459,Regular,Baking Goods,99.6384,Medium,Tier 1,Supermarket Type1,5.96637125748503,0.0,0.04984412206103052,1848.8378266666666
460,Low Fat,Snack Foods,151.134,High,Tier 3,Supermarket Type1,20.660833902939164,0.00010116258419680549,0.07606139909411172,2566.1485533333334
461,Low Fat,Household,115.9492,Medium,Tier 2,Supermarket Type1,11.480118811881189,0.0004863748175925319,0.0577723966118585,1986.4586866666666
462,Regular,Frozen Foods,61.3194,Medium,Tier 1,Supermarket Type1,6.509490445859873,0.0,0.03067503751875938,947.9882333333333
463,Regular,Baking Goods,150.1366,Medium,Tier 3,Supermarket Type2,24.472143439282803,0.0005305202928533084,0.07473200597312095,2165.91398
464,Low Fat,Others,181.166,Medium,Tier 3,Supermarket Type3,14.49328,0.0001675773489506861,0.09126750629722921,4221.3717400000005
465,Low Fat,Household,176.4686,Small,Tier 1,Grocery Store,14.117488000000002,0.0002445828322999106,0.08890105793450882,430.1511866666667
466,LF,Fruits and Vegetables,91.183,Medium,Tier 2,Supermarket Type1,4.447951219512196,0.00022725270061305284,0.04543248629795715,1436.9073666666666
467,Low Fat,Others,37.948,Medium,Tier 2,Supermarket Type1,2.739927797833935,0.0008305002108147992,0.018907822620827106,633.8415999999999
468,Regular,Dairy,253.2356,High,Tier 3,Supermarket Type1,20.098063492063492,0.0002916608999682509,0.12744620030196277,4485.317053333333
469,Regular,Breads,102.2648,Medium,Tier 2,Supermarket Type1,4.904786570743405,0.0005552751973308509,0.05095406078724464,1230.1764666666668
470,Low Fat,Baking Goods,250.6724,Medium,Tier 1,Supermarket Type1,15.9663949044586,0.0,0.12539889944972488,4363.209333333333
471,Low Fat,Frozen Foods,109.5912,Medium,Tier 3,Supermarket Type2,5.563005076142132,0.00038240683558533894,0.05455012444001991,1412.383733333333
472,Regular,Fruits and Vegetables,160.6552,High,Tier 3,Supermarket Type1,13.222650205761317,0.00036336891056125165,0.08085314544539507,2510.7761866666674
473,Regular,Frozen Foods,38.6506,Medium,Tier 3,Grocery Store,2.4385236593059934,0.004764979870946376,0.019344644644644644,151.69143333333335
474,Regular,Frozen Foods,35.6558,Small,Tier 1,Grocery Store,2.852464,0.007843430830327744,0.01796261964735516,85.5553
475,Regular,Snack Foods,53.864,Medium,Tier 2,Supermarket Type1,3.8474285714285714,0.000780537223377395,0.026905094905094903,936.31454
476,Regular,Fruits and Vegetables,196.0768,Small,Tier 1,Supermarket Type1,12.650116129032257,0.0005139100546316546,0.09818567851777667,2858.5679133333333
477,Low Fat,Meat,196.8426,Medium,Tier 1,Supermarket Type1,17.419699115044246,3.7040798079277555e-05,0.09847053526763382,3331.0861733333327
478,Regular,Canned,80.496,Small,Tier 1,Grocery Store,6.439679999999999,0.0022731611260186843,0.040552141057934504,358.9327799999999
479,Regular,Breads,256.4988,Medium,Tier 3,Grocery Store,45.039297629499565,0.0,0.12837777777777779,880.9865599999999
480,Low Fat,Dairy,223.5404,Medium,Tier 2,Supermarket Type1,13.971275,0.00025577394063891804,0.11165854145854145,3083.6527000000015
481,Low Fat,Household,92.6146,Medium,Tier 3,Supermarket Type2,10.76913953488372,0.0007525729204682631,0.046099850671976104,1338.5908999999997
482,Regular,Snack Foods,94.6752,Medium,Tier 3,Supermarket Type3,7.574016,0.0012745371227100655,0.04769531486146096,2587.7426666666665
483,Low Fat,Fruits and Vegetables,241.8854,Medium,Tier 1,Supermarket Type1,32.3592508361204,0.0006149669016815401,0.1210032016008004,4483.652553333333
484,Regular,Frozen Foods,229.8668,Medium,Tier 2,Supermarket Type1,24.196505263157896,0.000579886843163084,0.11453253612356752,3729.1014133333333
485,Regular,Fruits and Vegetables,113.2834,Medium,Tier 2,Supermarket Type1,8.299150183150182,0.00011574355112929166,0.05644414549078226,1885.035153333333
486,Low Fat,Baking Goods,222.6114,Medium,Tier 1,Supermarket Type1,18.397636363636366,0.0005168318379022818,0.11136138069034518,3879.0173800000002
487,Low Fat,Fruits and Vegetables,174.3712,Medium,Tier 2,Supermarket Type1,27.139486381322957,0.0005370406810298949,0.0870985014985015,1712.814886666667
488,Low Fat,Household,252.4066,Medium,Tier 2,Supermarket Type1,34.15515561569689,0.00036833847054712515,0.12607722277722277,3051.9384266666684
489,Low Fat,Household,81.925,Small,Tier 1,Supermarket Type1,12.092250922509225,0.0012846611534940494,0.04102403605408112,1467.3788133333337
490,Low Fat,Household,159.0604,Medium,Tier 3,Supermarket Type2,22.83709978463747,0.00018021379299938892,0.07917391737182677,2542.268526666667
491,Low Fat,Snack Foods,256.3356,Small,Tier 1,Supermarket Type1,14.647748571428572,0.00010198393824345898,0.12836034051076614,3941.9132866666673
492,Low Fat,Household,178.8344,Medium,Tier 2,Supermarket Type1,10.773156626506022,0.00015452915658284986,0.08932787212787212,2989.042520000001
493,Regular,Snack Foods,85.3908,High,Tier 3,Supermarket Type1,7.329682403433476,0.0008875200489982527,0.042974735782586815,1594.0139733333333
494,Regular,Snack Foods,166.7816,Medium,Tier 3,Grocery Store,8.509265306122447,0.0012849506840083079,0.08347427427427427,565.6858733333333
495,Low Fat,Fruits and Vegetables,124.8046,Medium,Tier 3,Supermarket Type3,9.984368,0.0004576606070609577,0.06287385390428211,3553.2414400000007
496,Low Fat,Fruits and Vegetables,118.8466,Small,Tier 2,Supermarket Type1,7.159433734939758,0.000866386316478553,0.05930469061876247,2291.88334
497,Low Fat,Household,164.2842,Medium,Tier 3,Supermarket Type3,13.142736,0.00023465412376844517,0.08276282115869017,3663.963980000001
498,Low Fat,Dairy,183.3292,Medium,Tier 1,Supermarket Type1,10.357581920903954,0.0004797110280304502,0.0917104552276138,3606.5276333333322
499,reg,Fruits and Vegetables,153.0682,High,Tier 3,Supermarket Type1,9.419581538461538,0.00031969290159549797,0.07703482637141419,2722.234266666667
500,Low Fat,Soft Drinks,142.9154,Small,Tier 1,Supermarket Type1,12.320293103448277,0.0002865044494854998,0.07156504757135704,1994.3817066666668
501,Regular,Snack Foods,187.8872,Medium,Tier 3,Grocery Store,19.571583333333336,0.00012661218007400184,0.09403763763763764,683.7987933333335
502,Regular,Dairy,86.6514,High,Tier 3,Supermarket Type1,8.335873015873016,0.0003446214025393704,0.04360915953699043,1290.0096933333336
503,Low Fat,Household,230.201,Medium,Tier 2,Supermarket Type1,33.5569970845481,0.00015904109452174404,0.11498551448551449,4696.930486666666
504,Low Fat,Fruits and Vegetables,42.0454,Small,Tier 2,Supermarket Type1,5.720462585034014,0.0006799678680664234,0.020980738522954092,850.1378266666663
505,Low Fat,Snack Foods,210.6612,Medium,Tier 3,Supermarket Type2,23.938772727272728,0.00034045359088432037,0.10485873568939771,2606.80674
506,Low Fat,Frozen Foods,110.5254,Medium,Tier 3,Grocery Store,13.981707779886149,0.0008327210758793906,0.05531801801801802,264.45576
507,Low Fat,Snack Foods,113.7544,Small,Tier 1,Supermarket Type1,11.375440000000001,0.0008760073808134015,0.056962643965948925,2066.9539066666666
508,Low Fat,Fruits and Vegetables,115.2518,Medium,Tier 3,Supermarket Type3,9.220144,0.0008613726727044609,0.058061360201511335,3671.1990066666667
509,Low Fat,Soft Drinks,216.9508,Medium,Tier 2,Supermarket Type1,14.133602605863192,9.38838944129268e-05,0.10836703296703296,3267.9239466666663
510,Low Fat,Fruits and Vegetables,222.9772,Medium,Tier 3,Supermarket Type2,11.23310831234257,0.0007925135708942438,0.11098914883026381,3100.275506666667
511,Low Fat,Dairy,250.275,Medium,Tier 2,Supermarket Type1,14.1,0.0001396432843871741,0.12470104633781764,3180.282473333333
512,Low Fat,Frozen Foods,58.7904,Small,Tier 1,Grocery Store,4.703232,0.0015872648425593295,0.029617329974811084,145.16659333333334
513,Low Fat,Health and Hygiene,109.5596,Medium,Tier 2,Supermarket Type1,6.599975903614458,0.00014879937495208088,0.0545887394120578,1650.0521399999998
514,Low Fat,Fruits and Vegetables,175.037,Medium,Tier 1,Supermarket Type1,30.520836965998257,0.0003259298319783817,0.08756228114057028,2298.8076600000004
515,Regular,Breads,157.5288,Medium,Tier 2,Supermarket Type1,24.050198473282443,0.00022011544555662204,0.07868571428571428,2009.1846600000003
516,Low Fat,Frozen Foods,100.4384,Small,Tier 1,Grocery Store,8.035072,0.00015402633853187626,0.05059869017632242,263.30170666666663
517,Regular,Fruits and Vegetables,241.1512,Small,Tier 2,Supermarket Type1,32.80968707482993,5.955770487561331e-05,0.12033493013972055,4294.188066666667
518,Regular,Canned,154.8972,Medium,Tier 2,Supermarket Type1,19.087763401109058,0.0002080353034141353,0.07737122877122878,2152.4870133333334
519,LF,Snack Foods,221.1798,Small,Tier 1,Grocery Store,17.694384,0.0006943936923715457,0.1114255919395466,507.25082666666657
520,Regular,Dairy,113.2518,Medium,Tier 2,Supermarket Type1,14.068546583850932,0.0014570503250279465,0.05656933066933067,1581.9407999999999
521,Low Fat,Dairy,48.635,Medium,Tier 3,Supermarket Type2,6.129174543163201,0.0003541924334327131,0.024208561473369836,921.5115866666664
522,LF,Frozen Foods,41.2822,Small,Tier 1,Supermarket Type1,2.393171014492754,0.0025929271695791403,0.020672108162243366,672.4136133333335
523,Regular,Soft Drinks,124.773,Medium,Tier 1,Supermarket Type1,15.105690072639225,0.0002604089827126061,0.06241770885442721,2109.1434333333336
524,Regular,Frozen Foods,214.7218,Medium,Tier 3,Supermarket Type3,17.177744,0.000486720249178239,0.10817219143576827,5228.549593333332
525,Regular,Meat,236.2248,Medium,Tier 3,Supermarket Type3,18.897983999999997,0.0003286550269065738,0.1190049370277078,6889.12137333333
526,Low Fat,Canned,167.7842,Small,Tier 2,Supermarket Type1,25.73377300613497,0.00026581004647636665,0.0837246506986028,3012.367713333332
527,Low Fat,Hard Drinks,57.0614,Medium,Tier 3,Supermarket Type3,4.564912,0.002970370110091936,0.028746297229219144,1562.4550533333334
528,Regular,Breads,187.7556,Small,Tier 1,Grocery Store,15.020447999999998,0.0002739051351863806,0.09458720403022669,667.2869533333336
529,Low Fat,Fruits and Vegetables,179.6976,Small,Tier 2,Supermarket Type1,13.310933333333333,0.0001196028160643214,0.0896694610778443,3126.5968000000003
530,Regular,Frozen Foods,81.9618,Medium,Tier 2,Supermarket Type1,9.006791208791208,0.0,0.04093996003996004,1238.0772933333335
531,Regular,Fruits and Vegetables,183.495,Medium,Tier 2,Supermarket Type1,9.557031250000001,0.00012560805471538734,0.09142750373692078,2809.6094200000002
532,Low Fat,Fruits and Vegetables,97.0094,Small,Tier 2,Supermarket Type1,4.543765807962529,0.0008012544042123752,0.04840788423153693,1692.2416666666666
533,Regular,Dairy,114.2518,Medium,Tier 2,Supermarket Type1,14.192770186335403,0.001449527202197252,0.05692665670154459,1636.9802666666662
534,Low Fat,Breads,230.2668,Small,Tier 1,Grocery Store,18.421343999999998,0.00012098515287483911,0.11600342569269521,591.9849733333334
535,Low Fat,Fruits and Vegetables,195.0768,Medium,Tier 2,Supermarket Type1,15.181073929961089,0.0001712560181425982,0.0971982062780269,2814.2922133333336
536,Regular,Canned,114.8492,Medium,Tier 2,Supermarket Type1,11.606791308741789,0.00025058144941366594,0.05736723276723277,1872.82882
537,Regular,Dairy,210.2244,Medium,Tier 1,Supermarket Type1,10.205067961165048,0.0001453587737674599,0.1051647823911956,3738.6889333333334
538,Regular,Frozen Foods,129.831,Medium,Tier 2,Supermarket Type1,14.449749582637729,0.00044792226047708176,0.06468908819133033,1924.1398066666663
539,Low Fat,Frozen Foods,226.9062,Medium,Tier 2,Supermarket Type1,12.433216438356165,0.000351100745594435,0.11305739910313901,4520.471293333334
540,Low Fat,Baking Goods,157.1604,Medium,Tier 1,Supermarket Type1,10.407973509933775,0.0006064251999867651,0.07861950975487744,2889.6607733333326
541,Regular,Snack Foods,170.879,Small,Tier 1,Grocery Store,13.670319999999998,0.0008804770685689876,0.08608513853904282,492.80296666666675
542,Low Fat,Snack Foods,87.883,Medium,Tier 1,Supermarket Type1,5.725276872964169,0.0008503535609844907,0.04396348174087043,1255.5656400000003
543,Low Fat,Canned,79.1986,Small,Tier 1,Grocery Store,6.335888,0.0033960989083140357,0.03989853904282116,289.6451933333334
544,Low Fat,Health and Hygiene,258.8278,Medium,Tier 1,Supermarket Type1,21.568983333333335,0.00040332678715346645,0.12947863931965983,4105.100866666667
545,Low Fat,Frozen Foods,245.3802,Medium,Tier 3,Supermarket Type3,19.630416,0.00015936317192666728,0.12361722921914357,6471.97548
546,Regular,Snack Foods,161.1578,Medium,Tier 3,Supermarket Type2,17.52667754214247,0.0007319746112195624,0.0802179193628671,2328.2804066666667
547,LF,Fruits and Vegetables,195.411,Medium,Tier 3,Grocery Store,10.736868131868132,0.0,0.09780330330330331,769.0211933333334
548,Regular,Snack Foods,251.1724,Small,Tier 1,Supermarket Type1,13.32479575596817,0.0005506392103590999,0.12577486229344018,2766.177066666666
549,Regular,Dairy,261.691,Medium,Tier 1,Supermarket Type1,17.62228956228956,0.0,0.13091095547773884,3450.375339999999
550,Regular,Snack Foods,60.7194,Medium,Tier 2,Supermarket Type1,3.058911838790932,0.000345758274950016,0.030253811659192824,981.4113933333333
551,LF,Household,107.1912,High,Tier 3,Supermarket Type1,17.4863295269168,0.0002639948428602348,0.053946250629089074,1757.2459400000005
552,Low Fat,Canned,163.4894,Small,Tier 1,Grocery Store,13.079151999999999,0.000303752451229254,0.08236241813602015,585.8818066666668
553,Low Fat,Soft Drinks,146.9444,Medium,Tier 3,Supermarket Type3,11.755552,0.00020168951657905984,0.07402740554156172,3590.481853333333
554,Low Fat,Starchy Foods,163.9526,Medium,Tier 3,Supermarket Type2,8.983704109589041,0.0003689728616685555,0.08160905923344947,1921.1880933333334
555,Low Fat,Baking Goods,99.5016,Medium,Tier 3,Supermarket Type2,5.734962536023054,0.0005642786849658699,0.04952792434046789,1446.8499799999997
556,Low Fat,Soft Drinks,130.1652,Medium,Tier 3,Supermarket Type3,10.413216,0.00010698315678845038,0.06557440806045339,3294.689106666666
557,Low Fat,Household,148.3392,Small,Tier 1,Grocery Store,11.867136,0.00029374895509750627,0.07473007556675063,326.2641933333333
558,Low Fat,Canned,167.6842,Medium,Tier 1,Supermarket Type1,25.71843558282209,0.0002664324545783085,0.0838840420210105,2847.582213333333
559,Regular,Frozen Foods,198.6426,Medium,Tier 1,Supermarket Type1,14.552571428571428,0.00036762402425260247,0.09937098549274637,3638.974286666667
560,Low Fat,Household,157.892,Medium,Tier 2,Supermarket Type1,11.695703703703703,0.00046117912877156533,0.07886713286713287,2443.1531000000004
561,Regular,Fruits and Vegetables,58.9246,Medium,Tier 1,Supermarket Type1,3.6827875,0.001964750291049918,0.02947703851925963,682.97764
562,Low Fat,Dairy,232.3642,Medium,Tier 3,Supermarket Type2,21.921150943396228,0.0002454219927166061,0.11566162269785964,3216.4576066666664
563,Low Fat,Snack Foods,193.8452,High,Tier 3,Supermarket Type1,9.297131894484412,0.0,0.09755671867136387,2647.48712
564,Regular,Snack Foods,187.0872,Medium,Tier 1,Supermarket Type1,25.213908355795148,0.0001378013140396564,0.09359039519759879,3553.9960133333325
565,Regular,Frozen Foods,232.7984,High,Tier 3,Supermarket Type1,16.222885017421603,0.00039020021615268836,0.11716074484146954,3924.913193333333
566,Low Fat,Snack Foods,161.5552,Medium,Tier 3,Supermarket Type3,12.924416,6.184434174820742e-05,0.08138801007556676,3521.3274266666676
567,Low Fat,Household,149.4366,Medium,Tier 2,Supermarket Type1,7.219159420289856,0.0002631577337814163,0.07464365634365634,2164.8708933333337
568,Low Fat,Seafood,106.4596,Medium,Tier 1,Supermarket Type1,13.357540777917189,0.00020260239565055664,0.05325642821410705,1550.5594266666665
569,Low Fat,Soft Drinks,188.353,High,Tier 3,Supermarket Type1,37.6706,0.0,0.09479265223955713,3225.423713333333
570,Low Fat,Soft Drinks,84.2592,Medium,Tier 2,Supermarket Type1,4.277116751269036,0.0,0.04208751248751249,963.0797
571,Low Fat,Snack Foods,167.4816,High,Tier 3,Supermarket Type1,18.609066666666664,0.0005127917753353204,0.08428867639657775,3031.1654666666664
572,Regular,Frozen Foods,104.3306,Medium,Tier 3,Supermarket Type2,15.422113821138213,0.0008397877899676606,0.051931607765057244,1420.9503599999998
573,Regular,Frozen Foods,110.3544,Medium,Tier 3,Supermarket Type2,24.22709110867179,0.00031260308605728456,0.05493001493280239,1948.9075666666663
574,Regular,Meat,101.6674,Medium,Tier 3,Supermarket Type3,8.133392,0.00025377529080118107,0.05121783375314862,2308.6836933333334
575,Regular,Snack Foods,86.3856,Medium,Tier 3,Grocery Store,6.569247148288973,0.0007353675496842066,0.043236036036036034,201.9149466666667
576,Low Fat,Snack Foods,106.528,Medium,Tier 3,Grocery Store,11.338797232570517,0.0015574078458245719,0.05331731731731732,267.45186
577,Regular,Baking Goods,54.1298,Medium,Tier 2,Supermarket Type1,11.092172131147542,0.0,0.027037862137862138,1058.6220000000003
578,Low Fat,Snack Foods,237.559,Medium,Tier 3,Grocery Store,23.7559,0.00047353549644509366,0.1188983983983984,523.45196
579,Low Fat,Frozen Foods,141.7154,Small,Tier 2,Supermarket Type1,13.900480627758704,0.0011283650612424622,0.07071626746506986,2128.4738266666673
580,Low Fat,Household,180.866,Medium,Tier 2,Supermarket Type1,16.0058407079646,0.00026532128758307254,0.0901175884404584,4067.616326666668
581,Regular,Baking Goods,143.5444,Small,Tier 1,Grocery Store,11.483552,0.000433888754977554,0.07231455919395466,276.10725999999994
582,Regular,Baking Goods,154.8656,Medium,Tier 3,Supermarket Type3,12.389248,0.00024346543067020696,0.07801793450881613,4529.859073333335
583,Low Fat,Health and Hygiene,107.0938,Medium,Tier 3,Supermarket Type3,8.567504,0.0013759485049554688,0.05395153652392947,2209.368526666667
584,Regular,Dairy,95.1436,Medium,Tier 2,Supermarket Type1,4.596309178743962,0.0012062039170264735,0.04740587942202292,1768.6089266666665
585,Low Fat,Soft Drinks,198.2768,Medium,Tier 2,Supermarket Type1,12.917055374592834,0.00048716395463311896,0.09903936063936064,4391.017580000001
586,LF,Dairy,241.5538,Medium,Tier 2,Supermarket Type1,44.403272058823525,0.00010569733533481984,0.12065624375624376,3973.205886666666
587,Regular,Baking Goods,40.0454,Small,Tier 1,Supermarket Type1,5.963574087862994,0.0030362132979068757,0.02005277916875313,602.4602266666667
588,Low Fat,Snack Foods,198.8084,Small,Tier 1,Supermarket Type1,14.099886524822695,0.00033638409141666044,0.09955353029544317,2905.662166666666
589,Regular,Frozen Foods,158.463,Medium,Tier 2,Supermarket Type1,14.405727272727272,0.0005575057963057622,0.07895515695067264,2372.999973333333
590,Low Fat,Frozen Foods,258.5646,High,Tier 3,Supermarket Type1,45.40203687445127,0.0002534582228193651,0.13012813286361347,3870.650493333334
591,Low Fat,Breads,85.7566,Medium,Tier 2,Supermarket Type1,5.0150058479532165,0.0006333912841693817,0.04283546453546454,1508.547446666667
592,Low Fat,Snack Foods,160.5236,Medium,Tier 2,Supermarket Type1,8.630301075268816,0.00047975184334266116,0.08018161838161837,2703.8581866666664
593,low fat,Fruits and Vegetables,127.202,Medium,Tier 3,Supermarket Type3,10.17616,0.0003572906164997406,0.0640816120906801,3331.308106666667
594,Low Fat,Starchy Foods,181.7634,Medium,Tier 2,Supermarket Type1,12.983099999999999,0.00022763058459513853,0.09079090909090909,4430.987773333333
595,reg,Soft Drinks,43.3112,High,Tier 3,Supermarket Type1,4.610026609898883,0.0025167989804022978,0.02179728233517866,734.2886266666666
596,Low Fat,Fruits and Vegetables,122.7414,Medium,Tier 2,Supermarket Type1,13.326970684039086,7.181246914244094e-05,0.06115665171898356,1883.392846666667
597,Low Fat,Fruits and Vegetables,123.2046,High,Tier 3,Supermarket Type1,7.581821538461538,0.00046547229567727176,0.06200533467539004,2861.3642733333336
598,Low Fat,Household,117.3492,Medium,Tier 3,Supermarket Type3,9.387936,0.0006517594580960074,0.05911798488664987,3049.253033333333
599,Regular,Breakfast,156.563,Medium,Tier 3,Supermarket Type2,7.7506435643564355,0.00025170452150252617,0.0779308113489298,1960.4924866666672
600,Low Fat,Frozen Foods,122.4072,Medium,Tier 3,Supermarket Type3,9.792576,0.0008510220722310453,0.06166609571788413,2740.1886733333336
601,Low Fat,Fruits and Vegetables,117.4808,Medium,Tier 3,Supermarket Type3,9.398464,0.0003280664585191793,0.05918428211586902,3875.7549599999993
602,Low Fat,Snack Foods,164.3868,Medium,Tier 3,Supermarket Type2,9.34015909090909,0.0006406000907615454,0.08182518666002986,2756.012520000001
